VALUE,label_id,label
"Sejak permulaan iman Kristen harus memperhitungkan kematian Yesus di kayu salib. Sungguh suatu awal yang memberikan tanda-tanda kegagalan! Maut adalah keterputusan kehidupan - suatu keterputusan yang tidak dapat dibatalkan. Maut menyangkal kehidupan, menakhlukkan makna dan menghancurkan hubungan-hubungan yang memungkinkan adanya kehidupan. Maut mengakhiri kemungkinan menjadi manusiawi dan pribadi. Dan kematian Yesus bukanlah kematian biasa; ini adalah jalan penuh aib dan salib yang mengerikan… Ia merupakan penyangkalan terhadap nilai-nilai yang dipegang dalam tradisi keagamaan umat-Nya. Kematian-Nya bukan sekadar secara pribadi, namun kematian seorang mesias yang dinanti-nantikan, sehingga menimbulkan kekecewaan yang besar. Ini lebih dari sekadar kehancuran kehidupan secara pribadi… Kematian Yesus di kayu salib secara harfiah merupakan mimpi buruk, mimpi mengerikan, yang daripadanya seseorang bangkit dan dengan susah payah mencoba melupakannya (Choan Seng Song, 2012, hal. 125-127).",3,Sermon
"Kematian dan salib merupakan cara Allah menyapa dunia melalui penderitaan-Nya.  Jalan itu sepi seperti kehidupan dalam situasi pembatasan sosial berksala besar yang dijalankan secara ketat atau lockdown di sebuah wilayah. Semua merasa hidup seperti di penjara. Anak-anak merasa jenuh dengan sekolah daring. Para pengajar merasakan kelelahan akibat pengajaran melalui dunia maya. Para pekerja, ibu rumah tangga, semuanya merasa sepi. Dunia usaha benar-benar tumbang, terpuruk akibat pandemi ini.",3,Sermon
"Rasa kesepian yang dimasuki Yesus dalam sengsara-Nya membuat Dia menyeru, Eloi, Eloi, lama sabakhtani? Yang berarti Allahku, Allahku, mengapa Engkau meninggalkan Aku? (Mark. 15:34). Kesepian-Nya adalah karena Ia benar-benar ditinggalkan. Alasan tentang Dia ditinggalkan banyak pihak sebenarnya bukan akibat kesalahan-Nya, sehingga ditinggalkan murid-murid dan para pengagum-Nya. Ia menderita karena Allah juga meninggalkan-Nya. Bapa dan Anak telah berpisah jauh, satu sama lain. Terciptalah suatu jarak antara Bapa dan Anak: juga dalam diri Allah terjadi percakapan timbal balik, yang di depan mata manusia tetap terselubung. Allah sendiri telah menyerahkan Anak-Nya di dalam Anak-Nya untuk menanggung seluruh keberadaan hidup manusia dan seluruh dosa manusia. Allah mengemban dosa dunia di dalam Diri Anak-Nya (Marinus Hendrik Bolkestein, 1991, hal. 317).",3,Sermon
"Bagian kesepian inilah yang akan dihayati oleh gereja-gereja di minggu-minggu pra-Paska. Kita dapat belajar dari kaum mistikus Kristen yang berkontemplasi dari misteri kesepian - misteri Allah yang meninggalkan Yesus. Tradisi mistik ini melukiskan pengalaman kesepian sebagai pengalaman tanpa hiburan, cobaan yang menyakitkan, mengerikan dan mengejutkan (E. Martasudjita, Pr., 2004, hal. 47). Kaum mistik merupakan golongan orang-orang Kristen yang menekankan kebersihan, kejernihan, ketenangan jiwa dengan jalan askese. Jalan aksese dilakukan dengan sikap tertentu terhadap makanan, tubuh, alam sekitar, dan hal-hal lain yang menyangkut kehidupan sehari-hari.",3,Sermon
"Tuhan Yesus menghayati kesepian dengan ketaatan. Ia taat sampai mati disalib. Ketaatan Yesus pada Bapa itu sebenarnya bukan hanya pada peristiwa salib. Alkitab menuliskan bahwa ketaatan itu ada sejak dari kehadiran-Nya, pembaptisan-Nya, karya-karya, transfigurasi, jalan derita, kematian-Nya.  Ketaatan-Nya pada kehendak Bapa adalah bahwa Mesias harus hidup dalam ketaatan kepada Bapa juga kalau Ia harus menanggung penderitaan dan kematian (Eko Riyadi, Pr., 2011, hal 142).",3,Sermon
"Mimpi buruk kematian Yesus yang diawali dengan kisah sengsara-Nya merupakan fakta. Namun meski hal itu merupakan fakta, ternyata untuk memahami misteri salib bukanlah hal mudah. Apalagi bila dalam diri kita terdapat pemahaman bahwa orang baik dan benar itu tidak pantas mengalami derita. Penderitaan itu hanya pantas dialami oleh orang jahat. Terkait dengan pemahaman itu, ketika covid 19 menghantam kehidupan, terdengarlah suara-suara agamawan menyatakan bahwa covid merupakan tentara Tuhan untuk mengganjar hukuman bagi mereka yang dituding sebagai pendosa. Ada pula agamawan-agawan yang berujar bahwa anak-anak Allah tidak mungkin akan terpapar virus. Allah yang hebat, kuat dan perkasa akan memberikan perlindungan.",3,Sermon
"Choan Seng Song menyebut fenomena di atas sebagai cara agama menyembunyikan Allah dari orang banyak. Agama yang mengukur kedalaman, luas dan lebar kasih penyelamatan Allah dengan ukuran-ukuran tradisi, ortodoksi dan hukum-hukumnya sendiri, kini berada dalam telaah salib. Kematian Yesus menjungkirbalikkan suatu agama (Choan Seng Song, hal. 135-137). Dari sinilah, peristiwa Yesus menjadi seruan bagi kita saat ini untuk menghayati iman pada Allah dengan cara berserah kepada Dia, mendengar suara-Nya dan mengikut Dia sampai akhir dengan melibatkan seluruh aspek kehidupan baik hati maupun budi.",3,Sermon
Manusia Paska adalah Manusia yang Berpengharapan,3,Sermon
"Fakta kebangkitan Yesus berkelindan dengan peristiwa penyaliban. Maka dengan mengutip pandangan Casalis, Fletcher menyebut bahwa Paska bukan kemenangan atas salib, melainkan kemenangan salib itu sendiri (Fletcher, 2007, hal. 231). Kebangkitan membenarkan jalan yang sudah ditempuh Yesus. Sekalipun salib pada mulanya tampak sebagai Allah yang kalah, kebangkitan mengamini bahwa kebangkitan merupakan kemenangan kehidupan atas kematian. Dengan demikian, melalui kebangkitan-Nya diwartakanlah sesuatu yang baru dan membaharui kehidupan berpengharapan. Apa yang selama ini mungkin sudah ada dalam bentuk harapan, kini menjadi kenyataan dalam Yesus Kristus.",3,Sermon
"Sejarah kehidupan baru dari Paska yang mengubah kita temukan dari peristiwa Maria Magdalena dengan pengalaman Paska-nya (Yohanes 20:1-18). Sebelum Maria Magdalena mengalami Paska, ia berada dalam situasi batin yang suram akibat kematian guru yang dicintainya. Ketika melihat pintu kubur terbuka, ia berseru pada Simon Petrus dan murid-murid lainnya, ""Tuhan telah diambil orang dari kuburnya dan kami tidak tahu di mana Ia diletakkan"" (Yoh. 20:3). Kendati ada malaikat Tuhan menjumpainya dan menyatakan kebangkitan Yesus, Maria Magdalena belum bisa membuka diri pada Paska. Serunya, ""Tuhanku telah diambil orang dan aku tidak tahu di mana Ia diletakkan"" (Yoh. 20:13). Selanjutnya Injil menceritakan ketika Yesus ""Sang Paska"" sendiri yang menjumpainya, ternyata ia masih belum bisa melihat Dia. Bahkan saat Yesus bertanya,"" Ibu, mengapa engkau menangis, apa yang engkau cari?"", itupun tidak mengubah sikap batin Maria Magdalena (ayat 14-15). Ia baru menyadari bahwa Yesus yang bangkit dari kematian itu menjumpainya setelah mendengar namanya disebut. Perkataan Yesus itu disambut Maria Magdalena dengan berkata, ""Rabuni"" secara spontan. Sebutan itu adalah sebutan dengan landasan cinta. Cinta dari seorang murid kepada gurunya (Raymond E. Brown, 1995, hal.87-88). Pelajaran yang baik bagi kita adalah cinta pada Yesus memberikan pada kita pemahaman untuk menemukan kehadiran-Nya (Louis M. Bermejo, 2009, hal. 59).",3,Sermon
"Dalam pengenalan Maria dan cintanya, tampak bahwa ia ingin menahan kebangkitan Yesus bagi dirinya sendiri. Karenanya Tuhan Yesus berkata, ""Janganlah engkau memegang Aku, sebab Aku belum pergi kepada Bapa, tetapi pergilah kepada saudara-saudara-Ku dan katakanlah kepada mereka, bahwa sekarang Aku akan pergi kepada Bapa-Ku dan Bapamu, kepada Allah-Ku dan Allahmu"" (Yoh. 20:17).  Maria Magdalena sungguh-sungguh memegang Yesus yang bangkit, namun Yesus menghendakinya agar tidak terus memegang atau menahan-Nya. Sebab, Ia harus pergi kepada Bapa dan Maria Magdalena harus pergi mengatakan kepada murid-Nya. Dengan demikian, diawali oleh kebangkitan-Nya, dan kemuliaan Yesus para murid menjadi anak-anak Allah yang adalah Bapa dan menjadi saudara Yesus yang bangkit (Surip Stanislaus, OFMCap., 2007, hal.20).",3,Sermon
"Dalam pengenalan Maria dan cintanya, tampak bahwa ia ingin menahan kebangkitan Yesus bagi dirinya sendiri. Karenanya Tuhan Yesus berkata, ""Janganlah engkau memegang Aku, sebab Aku belum pergi kepada Bapa, tetapi pergilah kepada saudara-saudara-Ku dan katakanlah kepada mereka, bahwa sekarang Aku akan pergi kepada Bapa-Ku dan Bapamu, kepada Allah-Ku dan Allahmu"" (Yoh. 20:17).  Maria Magdalena sungguh-sungguh memegang Yesus yang bangkit, namun Yesus menghendakinya agar tidak terus memegang atau menahan-Nya. Sebab, Ia harus pergi kepada Bapa dan Maria Magdalena harus pergi mengatakan kepada murid-Nya. Dengan demikian, diawali oleh kebangkitan-Nya, dan kemuliaan Yesus para murid menjadi anak-anak Allah yang adalah Bapa dan menjadi saudara Yesus yang bangkit (Surip Stanislaus, OFMCap., 2007, hal.20).",3,Sermon
"Jika pada awal kisah dalam Injil Yohanes 20, Maria Magdalena mengatakan kepada murid-murid lainnya, ""Tuhanku telah diambil orang"", setelah berjumpa dengan kebangkitan Yesus ia pergi kepada murid-murid yang lain dan berkata, ""Aku telah melihat Tuhan!"" Ia menjadi manusia Paska, yaitu manusia yang memiliki pengalaman tentang kebangkitan   dan telah membagikan pengalaman itu pada dunia. Dan itulah manusia berpengharapan!",3,Sermon
Menjadi Manusia Paska,3,Sermon
"Pewartaan pengharapan yang membaharui dalam kabangkitan itu oleh Adrianus Sunarko disebutkan sebagai peralihan kehidupan Kristus ke dalam sebuah kehidupan baru dalam persatuan dengan Allah, ke dalam sebuah kehidupan yang tidak mengenal kematian lagi, di mana Kristus yang sudah dibangkitkan dari antara orang mati, tidak mati lagi (Adrianus Sunarko, 2018, tanpa halaman). Karena kebangkitan-Nya yang bersifat demikian itu, maka kebangkitan Yesus menyelamatkan seluruh ciptaan.",3,Sermon
"Setelah memerhatikan peristiwa Kristus dari sengsara, kematian dan kebangkitan-Nya itu, adalah baik bila kita mengutip pertanyaan eksistensial yang diajukan oleh Adrianus Sunarko untuk merefleksikannya dengan situasi masa kini demikian:",3,Sermon
"Sejauh mana peristiwa Yesus Kristus seperti itu memiliki relevansi konkret bagi perjuangan manusia untuk tetap berharap di tengah hidup di dunia yang dipenuhi dengan penderitaan? Apakah hidup ini masih bermakna? Atau absurd? Apakah memang benar, bahwa peristiwa Yesus Kristus dapat memberi jawab atas pencarian manusia akan keselamatan dan pembebasan, atas upaya manusia modern (baca: saat ini_pen.) untuk merealisasikan diri dan menemukan makna dari sejarah hidup manusia? (Adrianus Sunarko, 2018).",3,Sermon
"Meski kegelapan, entah besar entah kecil meliputi semua peristiwa hidup baik secara pribadi maupun bersama, iman pada Yesus merupakan kekuatan yang mengikat segala peristiwa itu menjadi satu. Segala peristiwa masa depan manusia dikelompok-kelompokkan di sekitar Kristus, di sekitar karya, penderitaan, kematian dan kebangkitan-Nya. Dalam terang Bapa dan Roh Kudus, kebangkitan Yesus menjadi terang bagi masa depan umat manusia. Kristus yang bangkit menerangi kelamnya kehidupan. Ia adalah pengharapan kita.",3,Sermon
"Manusia Paska adalah manusia yang kehidupannya dalam pengharapan Allah karena anugerah kebangkitan. Allah bertindak dengan kebangkitan Yesus. Di sini, kita bisa belajar dari Gereja Purba yang menafsirkan bahwa peristiwa Paska merupakan peristiwa di mana Allah turun tangan dalam sejarah. Paska dijadikan momentum yang sangat memengaruhi perjalanan sejarah selanjutnya. Kebangkitan Yesus tidak mengakhiri sejarah, sebab sejarah berlangsung terus. Namun di lain pihak, sebuah sejarah baru atau zaman baru telah dimulai dari peristiwa ini (Andar Ismail, 2008, hal. 48).",3,Sermon
"Menjadi manusia Paska, manusia yang mengalami kebangkitan Yesus dalam kehidupannya. Melalui pengalamannya itu manusia Paska memancarkan terang kebangkitan di tengah dunia yang penuh gejolak. Dengan semangat persekutuan Bapa, Anak dan Roh Kudus, terang kebangkitan dihidupi bersama komunitas (gereja sebagai persekutuan) yang saling menumbuhkan pengharapan. Komunitas itu bukan hanya bagi dirinya sendiri, melainkan komunitas yang berjalan bersama dengan ciptaan lain. Mengapa? Kebangkitan Yesus adalah untuk membaharui ciptaan. Dengan demikian, kebangkitan Yesus menjadi jawab atas situasi saat ini ketika dunia membutuhkan tatanan baru pasca pandemi covid 19.",3,Sermon
Penutup,3,Sermon
"Permenungan di atas merupakan Bahan Dasar Masa Paska 2021. Bahan Dasar itu akan diperlengkapi dengan bahan-bahan lainnya untuk menghayati peristiwa Kristus berdasaran bacaan-bacaan dari leksionari tahun B (tahun 2020 - 2021). Semoga masa Paska 2021 yang diawali dengan ibadah Rabu Abu dan dilanjutkan dengan ibadah-ibadah Minggu pra-Paska, persekutuan keluarga, doa-doa harian, aksi puasa dan pantang ini menjadikan kita manusia Paska yang terus berpengaharapan untuk pemulihan kehidupan setelah dunia mengalami ""kematian"". Selamat menjadi manusia Paska!",3,Sermon
Refrensi,1,Announcement
"Andar Ismail, 2018, Selamat Paskah, Jakarta, BPK Gunung Mulia",1,Announcement
"Adrianus Sunarko, 2018, Kepada Allah Kita Berharap, Yogyakarta, Maharsa Publishing",1,Announcement
"Choan Seng Song, 2012, Allah yang Turut Menderita, Jakarta, BPK Gunung Mulia",1,Announcement
"E. Martasudjita, Pr., 2004, Tuhan yang Kita Sembah Pada Salib, Yogyakarta, Kanisius",1,Announcement
"Eko Riyadi, Pr., 2011, Yesus Kristus Tuhan Kita, Yogyakarta, Kanisus",1,Announcement
"Fletcher, 2007, Lihatlah Sang Manusia, Jakarta, BPK Gunung Mulia",1,Announcement
"Louis M. Bermejo, 2009, Misteri Makam Kosong, Yogyakarta, Kanisius",1,Announcement
"Marinus Hendrik Bolkestein, 1991, Kerajaan yang Terselubung, Jakarta, BPK Gunung Mulia",1,Announcement
"Raymond E. Brown, 1995, Kristus yang Bangkit Pada Masa Paskah. Yogyakarta, Kanisius",1,Announcement
"Roberth Davidson, 1998, Alkitab Berbicara, Jakarta, BPK Gunung Mulia",1,Announcement
"Surip Stanislaus, OFMCap., 2007, Rahasia Di Balik Paskah, Yogyakarta, Kanisius",1,Announcement
[WSN],1,Announcement
DASAR PEMIKIRAN,3,Sermon
"Untuk menjadi Manusia Paska, dibutuhkan sebuah proses. Rabu Abu bisa menjadi momen yang tepat untuk mengawali proses tersebut. Dalam Ibadah Rabu Abu ini kita akan merenung-resapkan makna pertobatan sejati yang Tuhan kehendaki.",3,Sermon
"Pertobatan sejati adalah kesediaan kita untuk mengoyakkan hati. Hati yang terkoyak tentu menimbulkan rasa sakit, sakit karena menyadari dan menyesali dosa-dosa yang telah kita perbuat. Namun tidak berhenti di situ, karena karunia Allah memulihkan hati kita dan menjadikannya baru. Dengan hati yang telah dibaharui kita menjalani hidup beriman setiap hari. Hidup beriman yang semata-mata tertuju kepada Tuhan. Maksudnya ialah bahwa segala sesuatunya kita lakukan untuk Tuhan.",3,Sermon
"Bersedekah, berdoa dan berpuasa merupakan bagian dari praktik hidup beriman yang dijalani banyak orang. Bagi kita, Rabu Abu menandai dimulainya masa Pra-Paska yang seringkali diisi dengan Persekutuan Doa dan juga Aksi Puasa. Banyak jemaat melakukan Aksi Puasa disertai dengan mengumpulkan sejumlah uang untuk Aksi Sosial/Kemanusiaan (sedekah). Perlu kita ingat bahwa doa, puasa dan sedekah yang kita lakukan seharusnya dilakukan dengan motivasi dan tujuan yang benar, yaitu karena dan untuk Tuhan. Doa, puasa dan sedekah yang kita lakukan bukan sekadar kegiatan rutin gereja; bukan pula untuk menarik simpati dan pujian dari orang lain, melainkan bentuk persembahan hidup kepada Tuhan.",3,Sermon
TAFSIR LEKSIONARIS,3,Sermon
Yoel 2:12-17,3,Sermon
"Seruan nabi Yoel menegaskan bahwa pertobatan adalah: pertama, sikap hati. Pertobatan bukan sekadar tindakan lahiriah, seperti biasa dilakukan umat Tuhan pada zaman itu, seperti: mengoyakkan pakaian, menaruh abu di kepala, mengenakan kain kabung, duduk dalam debu dan abu. Pertobatan adalah sikap mengoyakkan hati sebagai wujud penyesalan mendalam atas kesalahan yang telah diperbuat. Pertobatan merupakan sikap hati yang jujur dan tulus mengakui dosa di hadapan Tuhan. Pertobatan mendorong hidup agar berbalik dari kejahatan kepada Allah, dan memohon belas kasih-Nya.",3,Sermon
"Kedua, pertobatan melahirkan tindakan berlandaskan sikap hati yang tulus. Penyesalan dan pengharapan akan belas kasih Allah diungkapkan dengan tindakan berpuasa dan berhimpun/bersatu dalam seru doa bersama dengan umat Tuhan. Hal ini perlu dilakukan oleh seluruh umat beserta para imam, tua dan muda karena dosa yang mereka lakukan bukan hanya bersifat pribadi tetapi juga dosa komunal. Segenap umat telah melanggar ketetapan Tuhan dan melakukan kejahatan sehingga tulah dan hukuman menimpa mereka.",3,Sermon
Mazmur 51,3,Sermon
"Mazmur ini berisi pengakuan pemazmur atas dosa dan kesalahannya di hadapan Tuhan. Pemazmur sadar betul bahwa hidupnya telah menyimpang dari jalan Tuhan, ""aku sendiri sadar akan pelanggaranku"" (ayat 5).",3,Sermon
"Bersamaan dengan pengakuan dan penyesalan dosanya, Pemazmur menaikkan permohonan kepada Tuhan. Pemazmur memohon belas kasih Tuhan untuk membersihkan dirinya dari dosa (ayat 9). Ia meminta Tuhan mentahirkan hatinya dari segala kejahatan dan kecemaran (ayat 12).",3,Sermon
"Pemazmur tahu bahwa korban sembelihan, korban bakaran maupun berbagai-bagai persembahan tidak bisa melunakkan hati Tuhan (ayat 18). Melainkan jiwa yang hancur serta hati yang patah dan remuk (ayat 19). Karena itu ia tidak datang kepada Tuhan dengan korban dan persembahan, melainkan dengan pertobatan dan penyesalan, dengan permohonan dan kerendahan.",3,Sermon
II Korintus 5:20-6:10,3,Sermon
"Rasul Paulus menggambarkan orang berdosa sebagai orang yang berseteru dengan Allah. Untuk itu harus mau didamaikan dengan Allah. Pendamaian hanya bisa terjadi di dalam Kristus Yesus. Di dalam Dialah, setiap orang berdosa memperoleh pembenaran.",3,Sermon
"Anggota Jemaat Korintus adalah orang-orang berdosa yang sudah didamaikan dan dibenarkan Allah di dalam Yesus Kristus. Karena itu, mereka diingatkan untuk tidak menyia-nyiakan karunia pendamaian itu. Rasul Paulus memberikan contoh dan teladan bagaimana mensyukuri karunia Allah dalam hidupnya, yaitu dengan jalan menjadi pelayan-Nya.",3,Sermon
"Menjadi pelayan Tuhan berarti siap sedia melayani/melakukan kehendak Tuhan dalam segala keadaan. Mengenai hal ini, kesungguhan rasul Paulus tidak diragukan lagi. Ia sungguh-sungguh telah melayani Tuhan dalam menahan penderitaan, kesesakan, kesukaran, dera dan aniaya, dalam berjerih lelah, dalam berjaga-jaga dan berpuasa (ayat 4-5). Dalam semuanya itu rasul Paulus mendedikasikan kemurnian hati, pengetahuan, kemurahan dan kasih dengan pimpinan Roh Kudus (ayat 6). Dan dengan itu ia terus memberitakan kebenaran dan kuasa Allah baik ketika dipuji dan dihormati maupun ketika dihina dan direndahkan bahkan saat menghadapi bahaya dan maut (ayat 7-9). Pelayanan kepada Tuhan tetap dilakukan Paulus dengan sukacita dan kerelaan (ayat 10).",3,Sermon
"Matius 6:1-6, 16-21",3,Sermon
"Sedekah, doa dan puasa merupakan bagian dari praktik hidup beriman orang-orang Yahudi. Yesus menemukan bahwa hal-hal tersebut seringkali dilakukan dengan motivasi yang keliru. Sedekah, doa dan puasa seringkali dilakukan untuk memegahkan diri, untuk pamer kehidupan rohani, dan unjuk kesalehan pribadi.",3,Sermon
"Baik sedekah maupun puasa, menurut Yesus, harus dilakukan dengan ""tersembunyi"" (ayat 4,6,18). Makna tersembunyi adalah dikhususkan bagi Tuhan, dalam bahasa Jawa ""sinengker"". Sebagaimana suatu persembahan yang dikhususkan bagi seorang raja, tidak patut untuk dipamerkan pada orang lain sehingga siapa saja bisa melihat bahkan menjamahnya. Demikianlah sedekah, doa dan puasa seharusnya hanya dikhususkan bagi Tuhan.",3,Sermon
"Selain masalah peribadatan dan praktik-praktik keagamaan, kehidupan dan kerja sehari-hari pun tidak boleh diabaikan. Yesus mengkritik pola hidup dan kerja manusia yang hanya difokuskan untuk mengumpulkan harta di dunia. Manusia sering lupa untuk mengumpulkann harta di sorga. Harta berarti sesuatu yang dianggap berharga atau bernilai. Dalam dunia, wujudnya bisa berupa uang, perhiasan, tanah, rumah, kendaraan dan lain-lain. Harta di sorga adalah sesuatu yang dihargai di sorga, yaitu kesetiaan melakukan kehendak Tuhan (bdk. Perumpamaan tentang talenta dalam Matius 25:21, ""baik sekali perbuatanmu itu hambaku yang baik dan setia…"").",3,Sermon
INTI PEWARTAAN,3,Sermon
"Pertobatan yang sejati adalah sikap hati yang mau dirombak dan dibaharui Allah. Hati yang telah dibaharui itu seharusnya menjiwai setiap gerak dan langkah kita, baik itu praktik peribadatan maupun hidup sehari-hari. Sehingga hidup ini menjadi persembahan yang kudus (khusus) bagi Allah.",3,Sermon
BERITA YANG MAU DISAMPAIKAN,3,Sermon
"Di tengah praktik peribadatan dan hidup yang penuh kemunafikan, Firman Tuhan mengajarkan kepada kita makna pertobatan dan ibadah sejati.",3,Sermon
KHOTBAH JANGKEP,3,Sermon
"""Koyakkanlah Hatimu!""",3,Sermon
"Saudara yang dikasihi Tuhan,",3,Sermon
"Apakah saudara pernah mendengar istilah ""tobat sambal"" atau dalam bahasa Jawa disebut dengan ""kapok lombok?""  Istilah tersebut sering dipakai untuk menggambarkan sikap pertobatan yang tidak sungguh-sungguh. Berikutnya, ada istilah ""air mata buaya"", istilah ini mengandung makna kesedihan atau penyesalan yang palsu.",3,Sermon
"Saat ini, kita bersatu hati dalam ibadah Rabu Abu, ibadah yang mengajak kita untuk secara serius merenung-resapkan makna pertobatan di hadapan Tuhan. Pertobatan yang bukan hanya tobat sambal dan tidak cukup dengan menitikkan air mata buaya.",3,Sermon
"Menurut Yoel 2:12, pertobatan yang dikehendaki Tuhan ialah pertobatan yang dilakukan ""dengan segenap hati, dengan berpuasa, dengan menangis dan dengan mengaduh"". Pertobatan sejati bukan sekadar aksi secara lahiriah, seperti yang lazim dilakukan pada masa itu, seperti: mengoyakkan pakaian, menaruh abu di kepala, mengenakan kain kabung, duduk dalam debu dan abu. Karena itu nabi Yoel berkata: ""Koyakkanlah hatimu dan jangan pakaianmu!"" (ayat 13). Mengoyakkan hati adalah bentuk penyesalan mendalam atas kesalahan yang diperbuat. Mengoyakkan hati merupakan wujud kemauan untuk mematahkan, meremukkan hati yang penuh dengan dosa. Lalu, datang kepada Tuhan memohon belas kasih dan pengampunan-Nya.",3,Sermon
Pemazmur meyakini bahwa Tuhan tidak memandang hina jiwa yang hancur serta hati yang patah dan remuk (Mazmur 51:19). Artinya bahwa Tuhan berkenan mengampuni dan memulihkan jiwa yang hancur dan hati yang remuk. Rasul Paulus menyebut hal ini sebagai karya pendamaian yang dilakukan Allah di dalam Kristus (II Korintus 5:20-21). Dengan hati yang telah dibaharui kita menjalani hidup beriman setiap hari. Hidup beriman yang semata-mata tertuju kepada Tuhan. Maksudnya ialah bahwa segala sesuatunya kita lakukan untuk Tuhan.,3,Sermon
"Rasul Paulus mengingatkan jemaat di Korintus agar kasih karunia Allah yang telah mereka terima tidak menjadi sia-sia. Ia memberikan contoh dan teladan bagaimana mensyukuri karunia Allah dalam hidupnya, yaitu dengan jalan menjadi pelayan Tuhan. Pelayanan itu dilakukannya dalam segala keadaan, baik suka maupun duka.",3,Sermon
"Bagaimana dengan kita? Bersedekah, berdoa dan berpuasa merupakan bagian dari praktik hidup beriman yang dijalani banyak orang. Bagi kita, Rabu Abu menandai dimulainya masa Pra-Paska yang seringkali diisi dengan Persekutuan Doa dan juga Aksi Puasa. Banyak jemaat melakukan Aksi Puasa disertai dengan pengumpulan sejumlah uang untuk Aksi Sosial/Kemanusiaan (sedekah). Perlu kita ingat bahwa doa, puasa dan sedekah yang kita lakukan seharusnya dilakukan dengan motivasi dan tujuan yang benar, yaitu karena dan untuk Tuhan. Doa, puasa dan sedekah yang kita lakukan bukan sekadar kegiatan rutin gerejawi; Bukan pula untuk menarik simpati dan pujian dari orang lain, melainkan bentuk persembahan hidup kepada Tuhan.",3,Sermon
